method,coverage,width,worst_slice,runtime_s,dataset,seed,width_norm,cred_lo,cred_hi,p_meets
ACBUQ (ours),0.96,9.05148825484966,0.92,1.940161732999968,friedman1,0,0.3316703055612673,0.9422537981116657,0.9711315787332444,0.9999996497843452
CQR,0.942,8.583211729585546,0.9,1.960708640000007,friedman1,0,0.3145114236350489,,,
Split-Conformal,0.94,5.627654415826825,0.88,0.999694040999998,friedman1,0,0.2062120401791871,,,
Deep-Ensemble,0.582,2.0588008951499988,0.48,6.140419866999991,friedman1,0,0.075439872732349,,,
MLP-Gaussian,0.928,5.366485002706109,0.87,0.9546826759999476,friedman1,0,0.1966421068583772,,,
Gaussian-Process,0.898,4.743324219757462,0.79,0.8130618820000564,friedman1,0,0.1738078588899685,,,
Bayesian-Ridge,0.912,8.241769601069416,0.84,0.001928754000005,friedman1,0,0.3020000871666225,,,
ACBUQ (ours),0.872,7.03264775853169,0.8,1.966204370000014,friedman1,1,0.2576946868076899,0.8482964016213832,0.8962250798794384,0.0262565585492418
CQR,0.852,6.759440349296329,0.77,1.9375854969999864,friedman1,1,0.2476836496885571,,,
Split-Conformal,0.882,5.044383837347016,0.8,1.2142111179999802,friedman1,1,0.1848394740837004,,,
Deep-Ensemble,0.506,1.9361853843012968,0.36,6.606216052000036,friedman1,1,0.070946918335822,,,
MLP-Gaussian,0.896,5.268078175152821,0.82,1.226689317000023,friedman1,1,0.1930362222077037,,,
Gaussian-Process,0.88,4.541291388908618,0.8,0.8804245009999931,friedman1,1,0.1664048452800086,,,
Bayesian-Ridge,0.896,8.425835772223815,0.76,0.00210667500005,friedman1,1,0.3087447551716395,,,
ACBUQ (ours),0.912,7.955094130195266,0.86,1.944351650000044,friedman1,2,0.2914955448919522,0.8902117921098474,0.931065125389482,0.8249554350045576
CQR,0.884,7.43291359034039,0.83,1.873119155999916,friedman1,2,0.2723614782793131,,,
Split-Conformal,0.908,4.960358974270093,0.8,1.2902455590000272,friedman1,2,0.181760582389118,,,
Deep-Ensemble,0.582,1.9793921434926796,0.45,5.777395408000075,friedman1,2,0.0725301274855041,,,
